t_min,HI,stage
0.0,0.032063091241571175,H
1.0,0.048188537190854634,H
2.0,0.04325310049091935,H
3.0,0.050531131769181885,H
4.0,0.049422928631192256,H
5.0,0.058888247684396836,D
6.0,0.037697978572219126,D
7.0,0.04424677934897818,D
8.0,0.03605107299535219,D
9.0,0.03370639552144323,D
10.0,0.029266078034759738,D
11.0,0.028949128988655825,D
12.0,0.03370600111443252,D
13.0,0.049004244530370736,D
14.0,0.028755117956481155,D
15.0,0.02638826346116501,D
16.0,0.04124599001355087,D
17.0,0.03287120727887303,D
18.0,0.023205681382365707,D
19.0,0.0312789639311573,D
20.0,0.03842503907292309,D
21.0,0.034183318787112234,D
22.0,0.01979459378413973,D
23.0,0.03341226052782683,D
24.0,0.02188293304277855,D
25.0,0.02899837076155854,D
26.0,0.0240681568185674,D
27.0,0.028684282137468996,D
28.0,0.03129233540748436,D
29.0,0.0234635220582528,D
30.0,0.015968256558241262,D
31.0,0.017294392172682218,D
32.0,0.029940929920187535,D
33.0,0.025794306836517265,D
34.0,0.015201171434566313,D
35.0,0.024370584272468188,D
36.0,0.024978669738275963,D
37.0,0.01784259519679093,D
38.0,0.028906080374453063,D
39.0,0.022387915238395884,D
40.0,0.02531327659204811,D
41.0,0.003491268850714985,D
42.0,0.007938705822932608,D
43.0,0.005985175701411797,D
44.0,0.009481970663449045,D
45.0,0.015641617057738613,D
46.0,0.011687972720229728,D
47.0,0.007982200489851807,D
48.0,0.01879990801554775,D
49.0,0.010159986328908686,D
50.0,0.014366096460455781,D
51.0,0.015255048911925771,D
52.0,0.02515537068705726,D
53.0,0.025576342387060184,D
54.0,0.022354600911732612,D
55.0,0.011456301745542295,D
56.0,0.01786254597970564,D
57.0,0.007113303340360218,D
58.0,0.011059719868927342,D
59.0,0.009223285630222067,D
60.0,0.015511502731593579,D
61.0,0.015128483943019994,D
62.0,0.021481873797007472,D
63.0,0.019543851445451798,D
64.0,0.01862629766730183,D
65.0,0.02696439249264311,D
66.0,0.01854289171803411,D
67.0,0.004588959251121214,D
68.0,0.010112683526135953,D
69.0,0.012609224457239086,D
70.0,0.01606568641404561,D
71.0,0.0013661116790768615,D
72.0,0.011032400985518713,D
73.0,0.01446696068902067,D
74.0,0.01758979494853733,D
75.0,0.030905469911583574,D
76.0,0.017450953337165776,D
77.0,0.012576119407782516,D
78.0,0.00996967881893709,D
79.0,0.014509621900122895,D
80.0,0.014348847582281735,D
81.0,0.015798329285313568,D
82.0,0.0022042409885172877,D
83.0,0.002976294329889102,D
84.0,0.02168944670711268,D
85.0,0.018877218810668814,D
86.0,0.01744641165694568,D
87.0,0.0073542410600262375,D
88.0,0.005633197561984594,D
89.0,0.009365758061509332,D
90.0,0.0034274965422601274,D
91.0,0.015802592905310744,D
92.0,0.018931556266459308,D
93.0,0.018933418930571655,D
94.0,0.007229223747280525,D
95.0,0.013766641698950166,D
96.0,0.01452570159572098,D
97.0,0.009210339601597903,D
98.0,0.006750629267726394,D
99.0,0.012558789032244057,D
100.0,0.0,D
101.0,0.0069296800825848735,D
102.0,0.004763293577492344,D
103.0,0.01755324692485329,D
104.0,0.009552852705512356,D
105.0,0.018222971398104047,D
106.0,0.009283311053028244,D
107.0,0.005872472356131504,D
108.0,0.004510490441551107,D
109.0,0.008825804690441579,D
110.0,0.00902439683023259,D
111.0,0.01551413638126525,D
112.0,0.0176754862202971,D
113.0,0.009149263829868377,D
114.0,0.0032366375251926373,D
115.0,0.018678342496531528,D
116.0,0.007477948958753018,D
117.0,0.010175063469731004,D
118.0,0.01301913917191505,D
119.0,0.012507348683383185,D
120.0,0.017708177417226433,D
121.0,0.03687299416329933,D
122.0,0.04368116880898185,D
123.0,0.04289146840549164,D
124.0,0.031122366313228112,D
125.0,0.043947966754419726,D
126.0,0.05109552146341068,D
127.0,0.04504215101907844,D
128.0,0.0464337857377453,D
129.0,0.03894840971643504,D
130.0,0.05082977586771677,D
131.0,0.04404049341098179,D
132.0,0.036647509060626485,D
133.0,0.04018078260058793,D
134.0,0.0493792451706326,D
135.0,0.036389366766402545,D
136.0,0.04191894919413045,D
137.0,0.04605657729054726,D
138.0,0.04263427384055829,D
139.0,0.04215767281814559,D
140.0,0.05493100576420117,D
141.0,0.05228387665401518,D
142.0,0.04664159390347919,D
143.0,0.03711025597371288,D
144.0,0.0460688483769989,D
145.0,0.06932016649848723,D
146.0,0.050545424315965086,D
147.0,0.06774651333640448,D
148.0,0.06080844043275874,D
149.0,0.07365098813452974,D
150.0,0.06802463564934377,D
151.0,0.06663099467889463,D
152.0,0.05742917301688395,D
153.0,0.0730151752906245,D
154.0,0.06861235010887913,D
155.0,0.06294501945689569,D
156.0,0.07042817643502582,D
157.0,0.08483993425893209,D
158.0,0.06346866125507865,D
159.0,0.07323222724925536,D
160.0,0.0631858712307188,D
161.0,0.0666373226413627,D
162.0,0.06432645900406381,D
163.0,0.0738777696592776,D
164.0,0.08373332477286052,D
165.0,0.07366857073429132,D
166.0,0.08826189578558744,D
167.0,0.09938413831709572,D
168.0,0.09871522024948895,D
169.0,0.12457586598000388,D
170.0,0.10108968417597698,D
171.0,0.12654969865874235,D
172.0,0.1204318227974135,D
173.0,0.10336142857563425,D
174.0,0.11100256976546728,D
175.0,0.11498010356593048,D
176.0,0.11698731104418766,D
177.0,0.12265166346923113,D
178.0,0.1211263208841191,D
179.0,0.12399712974537593,D
180.0,0.11742046241057527,D
181.0,0.12605920877635002,D
182.0,0.1332291959396257,D
183.0,0.16719259963985897,D
184.0,0.16831387049287655,D
185.0,0.17167944883802763,D
186.0,0.16635330161202588,D
187.0,0.1709577979557556,D
188.0,0.1848288737463456,D
189.0,0.20491229880281447,D
190.0,0.21546303559098387,D
191.0,0.24221312303049047,D
192.0,0.2527285631744973,D
193.0,0.28486253512547216,D
194.0,0.2803780436742515,D
195.0,0.27430375569062565,D
196.0,0.29146495584025467,D
197.0,0.29904838815029144,D
198.0,0.34968182596927305,D
199.0,0.3004924002694905,D
200.0,0.3309221506881926,D
201.0,0.3122521058284796,D
202.0,0.3391663434229607,D
203.0,0.3305973227395336,D
204.0,0.3633737262313332,D
205.0,0.3486098275230529,D
206.0,0.263551844180755,D
207.0,0.20605546393151133,D
208.0,0.1977961475649946,D
209.0,0.2235752998107263,D
210.0,0.2411881930772252,D
211.0,0.19360513592837186,D
212.0,0.19335014400890344,D
213.0,0.16055826539710585,D
214.0,0.24065648937621018,D
215.0,0.2211652538888035,D
216.0,0.23215540397171455,D
217.0,0.2210450046632475,D
218.0,0.22428999850072515,D
219.0,0.22629965833817478,D
220.0,0.21622883487177488,D
221.0,0.21139598180804658,D
222.0,0.21853500612585283,D
223.0,0.196191988644712,D
224.0,0.21484082547283231,D
225.0,0.1837338205679887,D
226.0,0.19882883951999594,D
227.0,0.17189324933259248,D
228.0,0.41458327729249295,D
229.0,0.23374143963006028,D
230.0,0.23831868964055802,D
231.0,0.2528946919866794,D
232.0,0.2685036734589301,D
233.0,0.2529306373198277,D
234.0,0.24966957489322747,D
235.0,0.25876450901665027,D
236.0,0.24021331351638472,D
237.0,0.413213793906142,D
238.0,0.2998317220727963,D
239.0,0.3880593632971645,D
240.0,0.3129813403874793,D
241.0,0.313713737002028,D
242.0,0.3188779584403304,D
243.0,0.3475291219758996,D
244.0,0.34604779894480947,D
245.0,0.361276758833798,D
246.0,0.37213783664154715,D
247.0,0.3772388351409821,D
248.0,0.4324234529489683,D
249.0,0.38858312374074633,D
250.0,0.38446586999358734,D
251.0,0.39900980796705543,D
252.0,0.4159623597337219,D
253.0,0.41041006815828623,D
254.0,0.4170883018276466,D
255.0,0.44637993469055975,D
256.0,0.44039109379310104,D
257.0,0.47756833972990836,D
258.0,0.48320155971782053,D
259.0,0.5120759926491882,D
260.0,0.49798099388621436,D
261.0,0.5126193170734182,D
262.0,0.5332034999913303,D
263.0,0.5005137959164172,D
264.0,0.4789223210173817,D
265.0,0.5495958780363219,D
266.0,0.46876064815621876,D
267.0,0.5112667668682784,D
268.0,0.5306138549892068,D
269.0,0.5077223237974569,D
270.0,0.47696736775479265,D
271.0,0.486576853097919,D
272.0,0.4891751964044406,D
273.0,0.5189600867555075,D
274.0,0.5087339843960084,D
275.0,0.541089565123436,D
276.0,0.5306998487630046,D
277.0,0.5287743677301237,D
278.0,0.5608287187587817,D
279.0,0.5630394381993097,D
280.0,0.5701877209560093,D
281.0,0.46963957970716036,D
282.0,0.4209473079677808,D
283.0,0.44650354693885264,D
284.0,0.4918447688250812,D
285.0,0.4795170554009565,D
286.0,0.5023809583596625,D
287.0,0.5120491792239701,D
288.0,0.504794329881415,D
289.0,0.488781155390368,D
290.0,0.48875938544878894,D
291.0,0.4432776025448014,D
292.0,0.4455705146941721,D
293.0,0.49880960985400885,D
294.0,0.5032126696239451,D
295.0,0.5089776444592377,D
296.0,0.49287948061832343,D
