t_min,HI,stage
0.0,0.032998302948424825,H
1.0,0.02412224640992524,H
2.0,0.03265898511032157,H
3.0,0.02381678252262945,H
4.0,0.017912551835707426,H
5.0,0.00963328047629999,H
6.0,0.024204995439938492,H
7.0,0.02058850474160642,H
8.0,0.016215102519988166,H
9.0,0.010606214116780067,H
10.0,0.013289690844525023,H
11.0,0.011173242585774198,H
12.0,0.016408303905743226,H
13.0,0.017693853912768228,H
14.0,0.015021105862733973,H
15.0,0.007760328144820743,H
16.0,0.006369004823992309,H
17.0,0.017966976408686615,H
18.0,0.008377451837878308,H
19.0,0.013740911865390535,H
20.0,0.0,H
21.0,0.009275948923554326,H
22.0,0.012730595044858883,H
23.0,0.03243551348212538,H
24.0,0.009816802500329038,H
25.0,0.0024857816635672435,H
26.0,0.010019275154736508,H
27.0,0.012167276135786192,H
28.0,0.01065240038838062,H
29.0,0.011400383651945269,H
30.0,0.008817396087252781,H
31.0,0.018786581217013813,H
32.0,0.019245876489063212,H
33.0,0.01870737722949726,H
34.0,0.038578135913201826,H
35.0,0.03213094538263515,H
36.0,0.03918840137864623,H
37.0,0.07181508781986812,D
38.0,0.09538380306851606,D
39.0,0.05736329893377783,D
40.0,0.07541599692658114,D
41.0,0.05343998020292701,D
42.0,0.06437543766654653,D
43.0,0.1358813989004373,D
44.0,0.09585891959035796,D
45.0,0.11860437946919082,D
46.0,0.12504122073581767,D
47.0,0.14010796312361198,D
48.0,0.11951771285435968,D
49.0,0.11777928786849186,D
50.0,0.1652879274578805,D
51.0,0.13246851138005336,D
52.0,0.14392204348773743,D
53.0,0.16204023499522202,D
54.0,0.172178860611168,D
55.0,0.19130266598294204,D
56.0,0.17496009009346736,D
57.0,0.18339618070571584,D
58.0,0.2280681654735612,D
59.0,0.24233462950004542,D
60.0,0.19444039815095246,D
61.0,0.2048294219229865,D
62.0,0.2332708506527735,D
63.0,0.3543092317450838,D
64.0,0.3560321043845482,D
65.0,0.4595561422206444,D
66.0,0.41599424021735615,D
67.0,0.3631880156836168,D
68.0,0.3879624515655217,D
69.0,0.3897847152477918,D
70.0,0.4180008304580857,D
71.0,0.4353876069742995,D
72.0,0.40915129575131415,D
73.0,0.48805679652449285,D
74.0,0.4641370561288905,D
75.0,0.4258816512702496,D
76.0,0.3471626261870193,D
77.0,0.33542517610638595,D
78.0,0.3590046338533331,D
79.0,0.3899775186874992,D
80.0,0.3534606471586143,D
81.0,0.297305227405992,D
82.0,0.4030066267033507,D
83.0,0.33325422631322393,D
84.0,0.398975976963435,D
85.0,0.43058133526506864,D
86.0,0.4366982248562259,D
87.0,0.4640737901913557,D
88.0,0.4090399302206305,D
89.0,0.5214004137078334,D
90.0,0.43216099168199806,D
91.0,0.3815858995240502,D
92.0,0.3947513392758006,D
93.0,0.46694526144582055,D
94.0,0.3804816352377546,D
95.0,0.46415100196806813,D
96.0,0.5046018062318474,D
97.0,0.4784264838562639,D
98.0,0.42875754833933283,D
99.0,0.5277438939347643,D
100.0,0.42209411644997474,D
101.0,0.4411139186846497,D
102.0,0.4288702138892327,D
103.0,0.5210732282511111,D
104.0,0.3928091137019827,D
105.0,0.4448237416521398,D
106.0,0.3857933742513057,D
107.0,0.4198347362730868,D
108.0,0.40288718780380317,D
109.0,0.4719677058660394,D
110.0,0.4480051706148394,D
111.0,0.4989672743093395,D
112.0,0.4193466386118853,D
113.0,0.41435716559463825,D
114.0,0.42302666175581943,D
115.0,0.4026317071869531,D
116.0,0.4067872059555576,D
117.0,0.40170655962804785,D
118.0,0.45613071997423815,D
119.0,0.40691687704696716,D
120.0,0.4409412347058451,D
121.0,0.4362699364865951,D
122.0,0.45267450413111665,D
123.0,0.4551081852036221,D
124.0,0.4866372712537828,D
125.0,0.7404298451015797,D
126.0,0.4653491358676731,D
127.0,0.45292102202450424,D
128.0,0.5028416284883312,D
129.0,0.5187557914301268,D
130.0,0.5157519837805775,D
131.0,0.5284730490026263,D
132.0,0.5995785925400186,D
133.0,0.6465793131872025,D
134.0,0.6307772837274511,D
135.0,0.5845130243812278,D
136.0,0.5724919598148832,D
137.0,0.5635936433144373,D
138.0,0.5452307575013071,D
139.0,0.6168225083521304,D
140.0,0.5549777444436279,D
141.0,0.48800291690525077,D
142.0,0.551548442674548,D
143.0,0.5234839995009936,D
144.0,0.5587756069138491,D
145.0,0.5845625666366662,D
146.0,0.5052917683463397,D
147.0,0.5518156948609663,D
148.0,0.60443537583755,D
149.0,0.5859439405670703,D
150.0,0.608152668046285,D
151.0,0.6088473236156522,D
152.0,0.573267179925672,D
153.0,0.5870980610457227,D
154.0,0.6011919113388761,D
155.0,0.7205427388638983,D
156.0,0.6407029754863731,D
157.0,0.7144213271923261,D
158.0,0.7637054683263251,D
159.0,0.8638730055824275,D
160.0,1.0,F
