bearing,tau,HI
Bearing1_1,0.0,0.0
Bearing1_1,0.00819672131147541,0.02420233732544621
Bearing1_1,0.01639344262295082,0.01467687604497145
Bearing1_1,0.02459016393442623,0.0053893823446653924
Bearing1_1,0.03278688524590164,0.03230623076680883
Bearing1_1,0.040983606557377046,0.04080527932264244
Bearing1_1,0.04918032786885246,0.04220188380555669
Bearing1_1,0.05737704918032787,0.029686871690543012
Bearing1_1,0.06557377049180328,0.042585374166065636
Bearing1_1,0.07377049180327869,0.10503840741945494
Bearing1_1,0.08196721311475409,0.05409949749028218
Bearing1_1,0.09016393442622951,0.09316458375431816
Bearing1_1,0.09836065573770492,0.050392727928579906
Bearing1_1,0.10655737704918032,0.10631531361358955
Bearing1_1,0.11475409836065574,0.07065409169664591
Bearing1_1,0.12295081967213115,0.07595927705048632
Bearing1_1,0.13114754098360656,0.07807962250471757
Bearing1_1,0.13934426229508196,0.0953722771779517
Bearing1_1,0.14754098360655737,0.07765512170723857
Bearing1_1,0.1557377049180328,0.07384959812248279
Bearing1_1,0.16393442622950818,0.08816069025257872
Bearing1_1,0.1721311475409836,0.08907431256004711
Bearing1_1,0.18032786885245902,0.12422504246278789
Bearing1_1,0.1885245901639344,0.09075672778963448
Bearing1_1,0.19672131147540983,0.08773647510413597
Bearing1_1,0.20491803278688525,0.07927980405226151
Bearing1_1,0.21311475409836064,0.10233411879168978
Bearing1_1,0.22131147540983606,0.10078665196674512
Bearing1_1,0.22950819672131148,0.09196692967015657
Bearing1_1,0.23770491803278687,0.12035993426980814
Bearing1_1,0.2459016393442623,0.11313760130334644
Bearing1_1,0.2540983606557377,0.10518749541846806
Bearing1_1,0.26229508196721313,0.10887125940219208
Bearing1_1,0.27049180327868855,0.08122442856845614
Bearing1_1,0.2786885245901639,0.08725340676091649
Bearing1_1,0.28688524590163933,0.1143151566513565
Bearing1_1,0.29508196721311475,0.06859304499895168
Bearing1_1,0.30327868852459017,0.11340273252670165
Bearing1_1,0.3114754098360656,0.10228426585131328
Bearing1_1,0.319672131147541,0.11476754032214335
Bearing1_1,0.32786885245901637,0.11512831553896372
Bearing1_1,0.3360655737704918,0.0787341046226343
Bearing1_1,0.3442622950819672,0.10292377508085791
Bearing1_1,0.3524590163934426,0.05887524482017866
Bearing1_1,0.36065573770491804,0.10504573803302299
Bearing1_1,0.36885245901639346,0.12772398479649494
Bearing1_1,0.3770491803278688,0.0839298428622052
Bearing1_1,0.38524590163934425,0.1316842505906668
Bearing1_1,0.39344262295081966,0.08364607037722371
Bearing1_1,0.4016393442622951,0.06667705461665238
Bearing1_1,0.4098360655737705,0.10722774134224367
Bearing1_1,0.4180327868852459,0.07578210617579956
Bearing1_1,0.4262295081967213,0.0929576682785823
Bearing1_1,0.4344262295081967,0.08185481416256615
Bearing1_1,0.4426229508196721,0.060951139958807826
Bearing1_1,0.45081967213114754,0.07710788214344337
Bearing1_1,0.45901639344262296,0.10903800829590282
Bearing1_1,0.4672131147540984,0.06304393005303927
Bearing1_1,0.47540983606557374,0.0951453315423156
Bearing1_1,0.48360655737704916,0.08856138396051662
Bearing1_1,0.4918032786885246,0.10443043250952902
Bearing1_1,0.5,0.0750460250638642
Bearing1_1,0.5081967213114754,0.0756347228844799
Bearing1_1,0.5163934426229508,0.08225529243723077
Bearing1_1,0.5245901639344263,0.11148811345023825
Bearing1_1,0.5327868852459017,0.06714391219536699
Bearing1_1,0.5409836065573771,0.09559631997478063
Bearing1_1,0.5491803278688525,0.07622861456800001
Bearing1_1,0.5573770491803278,0.09997287600264071
Bearing1_1,0.5655737704918032,0.12538441221083607
Bearing1_1,0.5737704918032787,0.1567603378616482
Bearing1_1,0.5819672131147541,0.09938584789680253
Bearing1_1,0.5901639344262295,0.13004619015034527
Bearing1_1,0.5983606557377049,0.14795125373867338
Bearing1_1,0.6065573770491803,0.13377508380039596
Bearing1_1,0.6147540983606558,0.20347449880357488
Bearing1_1,0.6229508196721312,0.17430810272453698
Bearing1_1,0.6311475409836066,0.2120701368370826
Bearing1_1,0.639344262295082,0.28741818399051283
Bearing1_1,0.6475409836065574,0.3156607740949132
Bearing1_1,0.6557377049180327,0.35525771447605137
Bearing1_1,0.6639344262295082,0.3323529479329438
Bearing1_1,0.6721311475409836,0.3580172499459634
Bearing1_1,0.680327868852459,0.42263164556583
Bearing1_1,0.6885245901639344,0.3802229074475875
Bearing1_1,0.6967213114754098,0.3902657462073358
Bearing1_1,0.7049180327868853,0.4223004117085662
Bearing1_1,0.7131147540983607,0.3588719010950125
Bearing1_1,0.7213114754098361,0.42826363689717367
Bearing1_1,0.7295081967213115,0.42479538323525057
Bearing1_1,0.7377049180327869,0.49975904657377596
Bearing1_1,0.7459016393442623,0.4686692678323843
Bearing1_1,0.7540983606557377,0.46969889331630327
Bearing1_1,0.7622950819672131,0.45198441115463756
Bearing1_1,0.7704918032786885,0.4531570156975166
Bearing1_1,0.7786885245901639,0.4602134894265117
Bearing1_1,0.7868852459016393,0.5229196968137796
Bearing1_1,0.7950819672131147,0.45262101332616095
Bearing1_1,0.8032786885245902,0.5776328378603157
