t_min,HI,stage
0.0,0.012114534607872289,H
1.0,0.0,H
2.0,0.01105577421413817,H
3.0,0.015567753775912432,H
4.0,0.010659030994742217,H
5.0,0.02133992028714258,H
6.0,0.013570996661911201,H
7.0,0.0576096301413475,D
8.0,0.02531964999501879,D
9.0,0.037239238043816056,D
10.0,0.07469062440007532,D
11.0,0.10573568043736949,D
12.0,0.06433756284317688,D
13.0,0.022678436263146095,D
14.0,0.09228136259610326,D
15.0,0.05215034296919384,D
16.0,0.07330370223316601,D
17.0,0.046456678404200154,D
18.0,0.047093785400978465,D
19.0,0.048208946364650805,D
20.0,0.03842438059326561,D
21.0,0.06387466062030908,D
22.0,0.08856670793156879,D
23.0,0.07681206006161326,D
24.0,0.05704418514372778,D
25.0,0.0342518811683997,D
26.0,0.06170306020036644,D
27.0,0.023356310444304838,D
28.0,0.037232994521817074,D
29.0,0.07509772051461588,D
30.0,0.17322555785658988,D
31.0,0.33053700942401326,D
32.0,0.3131042936862996,D
33.0,0.4834181168656132,D
34.0,0.5596900828313757,D
35.0,0.5876920357603017,D
36.0,0.657778333541436,D
37.0,0.8755957546598209,D
38.0,0.8149806224753593,D
39.0,0.8731107067236513,D
40.0,0.8039218356692637,D
41.0,1.0,F
