t_min,HI,stage
0.0,0.10390848160347961,H
1.0,0.08629315496687649,H
2.0,0.03299820465022412,H
3.0,0.028344069611048645,H
4.0,0.06702668535363746,H
5.0,0.04880787058280649,H
6.0,0.04843852516825531,H
7.0,0.06521859972761473,H
8.0,0.08107615095710353,H
9.0,0.038978291360206065,H
10.0,0.13748101527196013,H
11.0,0.05967059214548982,H
12.0,0.1437011873601802,H
13.0,0.09689156575140466,H
14.0,0.06873750348608239,H
15.0,0.09882130141367357,H
16.0,0.055272239908393264,H
17.0,0.10410800641719935,H
18.0,0.029211891206835854,H
19.0,0.05308535169970052,H
20.0,0.056550789943643875,H
21.0,0.12391541118073789,H
22.0,0.09782214948575554,H
23.0,0.037427613559625546,H
24.0,0.1372180441805784,H
25.0,0.04147185620023113,H
26.0,0.07066996195590446,H
27.0,0.12772500323078523,H
28.0,0.05844770963893534,H
29.0,0.07716810251420973,H
30.0,0.06627547295630311,H
31.0,0.11265890370456132,H
32.0,0.1899320833606117,H
33.0,0.13285859633027886,H
34.0,0.15374956074010734,H
35.0,0.09099686554904328,H
36.0,0.05713216532134687,H
37.0,0.08880027242672268,H
38.0,0.11056170663342647,H
39.0,0.04795266971821518,H
40.0,0.14127076619523074,H
41.0,0.07934730881856145,H
42.0,0.1463519434582554,H
43.0,0.06241696015473257,H
44.0,0.06885712559614128,H
45.0,0.0505473945568891,H
46.0,0.12812655051680596,H
47.0,0.06217528274430601,H
48.0,0.06907684331188435,H
49.0,0.11228213255280167,H
50.0,0.13174757934489642,H
51.0,0.07904117354869568,H
52.0,0.06849665360714592,H
53.0,0.12562420824571646,H
54.0,0.1471113917314639,H
55.0,0.054562956692801326,H
56.0,0.07085838939399129,H
57.0,0.12941628731105026,H
58.0,0.08022255571332683,H
59.0,0.15959252376660615,H
60.0,0.10804340324168803,H
61.0,0.125884149662611,H
62.0,0.07886321922144726,H
63.0,0.14471657789654016,H
64.0,0.12455489962786881,H
65.0,0.2015137788392538,D
66.0,0.12449101226825346,D
67.0,0.06309416234864554,D
68.0,0.18725141884251972,D
69.0,0.09466511036314584,D
70.0,0.10375100070465172,D
71.0,0.10423249467341116,D
72.0,0.08412909869154582,D
73.0,0.14151373051566318,D
74.0,0.09120222831060092,D
75.0,0.10548911277623704,D
76.0,0.1559532992811798,D
77.0,0.07562861836803111,D
78.0,0.058923129635571225,D
79.0,0.08539808748924807,D
80.0,0.08811388038796825,D
81.0,0.09916444209430186,D
82.0,0.0972327858153181,D
83.0,0.16202284502972833,D
84.0,0.10788329430603363,D
85.0,0.1805150073380705,D
86.0,0.1043040993026595,D
87.0,0.11650932833942217,D
88.0,0.10582536275676262,D
89.0,0.12084184272577932,D
90.0,0.10310261190310399,D
91.0,0.08276747342111566,D
92.0,0.14163346584283465,D
93.0,0.1349136412012765,D
94.0,0.11019664220683602,D
95.0,0.11978361408336405,D
96.0,0.09648291704905025,D
97.0,0.13621941145042177,D
98.0,0.05547879729478101,D
99.0,0.041347418004602815,D
100.0,0.09288198378250719,D
101.0,0.07213721042882194,D
102.0,0.052901339988037824,D
103.0,0.04465190308126703,D
104.0,0.027221838305854593,D
105.0,0.07576688748268745,D
106.0,0.0926680060999523,D
107.0,0.10990707017320066,D
108.0,0.06835042068361663,D
109.0,0.04991691385197551,D
110.0,0.074042031851159,D
111.0,0.057954054206280935,D
112.0,0.07831234506117288,D
113.0,0.050296257897493396,D
114.0,0.105536489713841,D
115.0,0.05133180973920905,D
116.0,0.11140414855098268,D
117.0,0.05166714560380628,D
118.0,0.15220714461696094,D
119.0,0.1590556040756989,D
120.0,0.08689038395213629,D
121.0,0.05407069948339956,D
